ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
194|Jansen for County Attorney|94 2nd General Campaign Statement|1994-10-31|1994-11-01|$10.00|PAID||||Jansen|James|
195|Jansen for County Attorney|93 Annual Campaign Statement|1994-01-31|1994-02-01|$10.00|PAID||||Jansen|James|
196|Jensen for Legislature|Statement of Organization|1998-03-20|1998-04-07|$180.00|PAID||||Jensen|Andrew|
197|Jim Jensen for Legislature|Statement of Organization|1994-03-15|1994-04-01|$170.00|REDUCED|$0.00|1994-06-17||Jensen|Jim|
198|Ralph Johnson for NPPD|95 Annual Campaign Statement|1996-01-31|1996-02-05|$50.00|REDUCED|$10.00|1996-04-09|1996-04-09|Johnson|Ralph|
199|Rod Johnson for PSC|96 Annual Campaign Statement|1997-01-31|1997-02-04|$40.00|PAID||||Johnson|Rod|
200|Rod Johnson for PSC|93 Annual Campaign Statement|1994-01-31|1994-02-09|$90.00|PAID||||Johnson|Rod|
201|Ruth Johnson for SCC|96 Annual Campaign Statement|1998-02-02|1998-02-03|$10.00|PAID||||Johnson|Ruth|
202|Ruth Johnson for SCC|95 Annual Campaign Statement|1996-01-31|1996-02-05|$50.00|REDUCED|$0.00|1996-04-16||Johnson|Ruth|
203|Jones for Legislature|96 2nd General Campaign Statement|1996-10-28|1996-10-30|$20.00|PAID||||Jones|Jim|
204|Jones for Legislature|Report of Late Contribution|1996-10-28|1996-10-30|$100.00|PAID||||Jones|Jim|
205|Jones for Legislature|96 2nd Primary Campaign Statement|1996-05-06|1996-05-07|$10.00|PAID||||Jones|Jim|
206|Committee to Re-Elect Jorgensen to OPPD|93 Annual Campaign Statement|1994-01-31|1995-01-09|$300.00|PAID||||Jorgensen|Dennis|
207|Committee to Re-Elect Jorgensen for OPPD|96 Annual Campaign Statement|1997-01-31|1997-05-19|$300.00|PAID||||Jorgensen|Dennis|
208|Keefe for Public Defender|95 Annual Campaign Statement|1996-01-31|1996-02-09|$90.00|REDUCED|$30.00|1996-03-04|1996-03-04|Keefe|Dennis|
209|Shelley Kiel for Legislature|96 Post Primary Campaign Statement|1996-06-24|1996-06-26|$20.00|REDUCED|$0.00|1996-08-19||Kiel|Shelley|
210|Sandra Kostos Jensen for School Board|96 1st General Campaign Statement|1996-10-07|1996-10-11|$40.00|PAID||||Kostos Jensen|Sandra|
211|Marc Kraft Election Committee|97 Post General Campaign Statement|1997-06-23|1997-06-25|$20.00|PAID||||Kraft|Marc|
212|Nancy J. Kratky District 5 (OPS) Campaign Committee|Statement of Organization|1994-05-09|1994-06-23|$300.00|REDUCED|$0.00|1995-02-14||Kratky|Nancy|
213|Nancy J. Kratky District 5 (OPS) Campaign Committee|94 Post Primary Campaign Statement|1994-06-20|1994-10-11|$300.00|REDUCED|$0.00|1995-02-14||Kratky|Nancy|
214|Committee to Elect Carll J. Kretsinger|Statement of Organization|1997-11-17|1998-04-15|$300.00|REDUCED|$0.00|1998-04-27||Kretsinger|Carll|
215|Committee to Elect Carll Kretsinger|98 1st Primary Campaign Statement|1998-04-13|1998-04-17|$40.00|REDUCED|$0.00|1998-04-27||Kretsinger|Carll|
216|Gary Lacey County Attorney Committee|94 Post Primary Campaign Statement|1994-06-20|1994-06-29|$90.00|REDUCED|$0.00|1994-08-03||Lacey|Gary|
217|Langan for School Board|94 2nd General Campaign Statement|1994-10-11|1994-10-18|$70.00|REDUCED|$10.00|1994-11-19||Langan|John|
218|Lightner for NRD|Statement of Organization|1998-05-11|1998-05-14|$30.00|REDUCED|$0.00|1998-05-22||Lightner|Lyle|
219|Central Nebraskans for Loschen|96 Annual Campaign Statement|1997-01-31|1997-02-11|$110.00|REDUCED|$30.00|1997-04-15|1997-04-15|Loschen|Terry|
220|Central Nebraskans for Loschen|Statement of Organization|1994-10-29||$300.00|REDUCED|$0.00|1995-04-21||Loschen|Terry|
221|F|94 2nd General Campaign Statement||1994-11-07|$70.00|PAID||||Loschen|Terry|
222|Committee to Elect Thomas Lynam Surveyor|96 Annual Campaign Statement|1997-01-31|1997-02-05|$50.00|REDUCED|$20.00|1997-03-13|1997-03-13|Lynam|Thomas|
223|Dan Lynch for Legislature|97 Annual Campaign Statement|1998-02-02|1998-02-04|$20.00|PAID||||Lynch|Dan|
224|Dan Lynch for Legislature|96 2nd Primary Campaign Statement|1996-05-06|1996-05-09|$30.00|PAID||||Lynch|Dan|
225|Lormong Lo for City Council|Statement of Organization|1996-07-22|1997-02-18|$300.00|REDUCED|$0.00|1997-03-14||Lo|Lormong|
226|Lormong Lo for City Council|96 Annual Campaign Statement|1997-01-31|1997-02-27|$270.00|REDUCED|$0.00|1997-03-14||Lo|Lormong|
227|Meier for School Board|96 2nd Primary Campaign Statement|1996-05-06|1996-05-09|$30.00|PAID||||Meier|Bill|
228|Meier for School Board|95 Annual Campaign Statement|1996-01-31|1996-02-12|$120.00|REDUCED|$10.00|1996-03-05|1996-03-05|Meier|Bill|
229|Milder for School Board|97 Annual Campaign Statement|1998-02-02|1998-04-10|$300.00|REDUCED|$0.00|1998-04-28||Milder|Ally|
230|Milder for School Board|96 Annual Campaign Statement|1997-01-31|1997-05-23|$300.00|REDUCED|$0.00|1998-04-28||Milder|Ally|
231|Drew Miller for University of NE Regent|94 2nd General Campaign Statement|1994-10-31|1994-11-04|$40.00|PAID||||Miller|Drew|
232|Drew Miller for University of Nebraska Regent|94 2nd Primary Campaign Statement|1994-05-02|1994-05-05|$30.00|PAID||||Miller|Drew|
233|Committee to Elect Jim Miller Sarpy County Attorney|98 2nd Primary Campaign Statement|1998-05-04|1998-05-11|$70.00|REDUCED|$0.00|1998-09-17||Miller|Jim|
234|Committee to Elect Jim Miller Sarpy County Attorney|95 Annual Campaign Statement|1996-01-31|1996-07-17|$300.00|PAID||||Miller|Jim|
235|Committee to Elect Jim Miller Sarpy County Attorney|94 Post General Campaign Statement|1995-01-09|1995-01-20|$110.00|PAID||||Miller|Jim|
236|Marv Miller Election Committee|96 Annual Campaign Statement|1997-01-31|1997-02-07|$70.00|PAID||||Miller|Marv|
237|Marv Miller Election Committee|94 Post General Campaign Statement|1995-01-09|1995-01-13|$40.00|PAID||||Miller|Marv|
238|Miller for Sheriff|94 Post General Campaign Statement|1995-01-09|1995-01-13|$40.00|PAID||||Miller|Neil|
239|Committee to Elect Derek Mitchell|98 2nd Primary Campaign Statement|1998-05-04|1998-05-06|$20.00|PAID||||Mitchell|Derek|
240|Moore for Sheriff Committee|94 Post General Campaign Statement|1995-01-09|1995-01-19|$100.00|REDUCED|$0.00|1995-03-15||Moore|James|
241|Moore for Secretary of State|94 Post General Campaign Statement|1995-01-09|1995-01-10|$10.00|PAID||||Moore|Scott|
242|Maxine Moul for Lt. Governor|96 Annual Campaign Statement|1997-01-31|1997-02-03|$30.00|REDUCED|$10.00|1997-04-09|1997-04-09|Moul|Maxine|
243|Committee to Elect Michael Munch Sarpy County Attorney|98 1st Primary Campaign Statement|1998-04-13|1998-04-30|$170.00|PAID||||Munch|Michael|
244|Committee to Elect Mike Munch|96 Annual Campaign Statement|1997-01-31|1997-02-03|$30.00|PAID||||Munch|Michael|
245|Committee to Elect Michael Munch Sarpy County Attorney|95 Annual Campaign Statement|1996-01-31|1996-02-08|$80.00|PAID||||Munch|Michael|
246|Citizens for Murray|96 Annual Campaign Statement|1997-01-31|1997-02-12|$120.00|REDUCED|$0.00|1997-04-21||Murray|Glen|
247|Carol McBride Pirsch for Douglas County Board|96 2nd General Campaign Statement|1996-10-28|1996-10-30|$20.00|PAID||||McBride Pirsch|Carol|
248|Carol McBride Pirsch for Douglas County Board|96 Post Primary Campaign Statement|1996-06-24|1996-06-25|$10.00|PAID||||McBride Pirsch|Carol|
249|Carol McBride Pirsch for Douglas County Board|96 1st Primary Campaign Statement|1996-04-15|1996-04-16|$10.00|PAID||||McBride Pirsch|Carol|
250|McCallister for Douglas County Board|Statement of Organization|1998-05-12|1998-05-19|$70.00|REDUCED|$0.00|1998-06-17||McCallister|Kathleen|
251|McCollister for MUD|96 2nd Primary Campaign Statement|1996-05-06|1996-05-13|$70.00|REDUCED|$20.00|1996-09-19|1996-09-19|McCollister|John|
254|Bill McMullen County Supervisor|94 Annual Campaign Statement|1995-01-31|1995-02-08|$80.00|PAID||||McMullen|Bill|
255|Bill McMullen County Supervisor|93 Annual Campaign Statement|1994-01-31|1994-03-23|$300.00|REDUCED|$0.00|1994-06-17||McMullen|Bill|
256|Carol McShane for City Council|97 1st Primary Campaign Statement|1997-03-10|1997-03-18|$10.00|REDUCED|$0.00|1997-04-28||McShane|Carol|
257|Barb Nichols for Legislature|96 2nd Primary Campaign Statement|1996-05-06|1996-05-09|$30.00|REDUCED|$0.00|1996-07-12||Nichols|Barb|
