ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
263|Daniel G Dolan, PC|May|1996-06-10|1996-06-18|$80.00|PAID||||
264|Double J Construction, Inc.|May|1998-04-10|1998-04-15|$50.00|REDUCED|$0.00|1998-05-20||
265|Double J Farms & Feedlot, Inc.|March|1998-04-10|1998-04-27|$170.00|REDUCED|$0.00|||
266|Double S, Inc.|March|1998-04-10|1998-06-03|$300.00|REDUCED|$0.00|1998-06-23||
267|Douglas Manufacturing Corporation|September|1996-10-10|1997-02-20|$300.00|PAID||||
268|Douglas Manufacturing Corporation|September|1996-10-10|1996-10-31|$210.00|PAID||||
269|Douglas Theatre Co.|November|1996-12-10|1997-04-21|$300.00|REDUCED|$0.00|1997-05-08||
270|Drake-Williams Steel, Inc.|October|1996-11-10|1997-03-27|$300.00|REDUCED|$0.00|1997-05-15||
271|DuTeau Chevrolet Company|January|1997-01-01|1998-04-27|$300.00|PAID||||
272|DuTeau Chevrolet Company|April|1996-05-10|1996-08-12|$100.00|REDUCED|$0.00|1996-09-19||
273|Dutton-Lainson Company|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1997-01-02||
274|EPS Technologies|December|1997-01-10|1997-04-24|$300.00|REDUCED|$0.00|1997-05-08||
275|Eby's, Inc.|September|1996-10-10|1996-10-15|$50.00|PAID||||
276|Eggers Consulting Co., Inc.|April|1997-07-10|1997-08-14|$300.00|REDUCED|$0.00|1997-08-26||
277|Elkhorn Valley Bank|April|1996-05-10|1996-05-29|$190.00|REDUCED|$0.00|1996-06-12||
278|Elrod Woolworth Co., Inc.|January|1997-02-10|1998-01-20|$300.00|REDUCED|$0.00|1998-02-04||
279|Erickson & Sederstrom, PC|July|1996-08-12|1996-08-16|$40.00|PAID||||
280|Everly Plumbing & Heating, Inc.|September|1996-10-10|1996-10-24|$140.00|REDUCED|$0.00|1997-01-02||
281|Excavating, Inc.|October|1997-11-10|1997-02-12|$300.00|REDUCED|$0.00|1998-03-02||
282|Eyecare Specialties|April|1998-05-11|1998-06-02|$220.00|PAID|$10.00|1998-06-29||
283|Eyecare Specialties|March|1998-04-10|1998-05-20|$300.00|REDUCED|$0.00|1998-05-29||
284|Fairbury Motors, Inc.|October|1996-11-12|1996-11-18|$60.00|REDUCED|$0.00|1997-01-02||
285|Farmers Garage, Inc.|October|1996-11-12|1997-02-21|$300.00|REDUCED|$0.00|1997-03-12||
286|Fehrs nebraska Tractor & Equipment Co.|May|1996-06-10|1996-09-20|$300.00|REDUCED|$0.00|1996-10-04||
287|Bob Feller, Inc.|December|1998-01-12|1998-02-11|$300.00|REDUCED|$0.00|1998-03-02||
288|Fernando's Restaurant|June|1996-07-10|1996-07-18|$80.00|PAID||||
289|Ferris Farms, Inc.|April|1998-05-11|1998-05-20|$100.00|REDUCED|$0.00|1998-06-01||
290|Financial Solutions, Inc.|February|1998-03-10|1998-04-03|$240.00|REDUCED|$0.00|1998-04-14||
291|First Bank National Association|April|1997-05-10|1997-09-08|$300.00|PAID||||
292|First Bank National Association|November|1996-12-10|1997-01-23|$300.00|PAID||||
293|First Bank National Association|September|1996-10-10|1997-01-08|$300.00|REDUCED|$0.00|1997-01-28||
294|First Bank National Association|October|1996-11-12|1997-01-08|$300.00|PAID||||
295|First Data Resources|March|1998-04-10|1998-06-05|$300.00|PAID||||
296|First National Bank of Omaha|August|1996-09-10|1996-10-11|$300.00|PAID||||
297|First National Bank Scottsbluff|April|1996-05-10|1996-05-30|$200.00|REDUCED|$0.00|1996-06-03||
298|First Nebraska Title and Escrow Company|February|1997-03-10|1997-07-25|$300.00|REDUCED|$0.00|1997-08-08||
299|First Nebraska Title and Escrow Company|February|1997-03-10|1997-04-28|$300.00|REDUCED|$0.00|1997-05-14||
300|First Security Bank|April|1998-05-11|1998-06-15|$300.00|REDUCED|$0.00|1998-07-01||
301|First Star Corp. d/b/a  KKUL & KFGE Radios|April|1998-05-11|1998-06-03|$230.00|REDUCED|$0.00|1998-07-30||
302|First State Bank Fremont|October|1996-11-12|1996-12-10|$280.00|REDUCED|$0.00|1997-01-09||
303|First State Bank Scottsbluff|April|1996-05-10|1996-05-28|$180.00|REDUCED|$0.00|1996-06-12||
304|First State Bank Scottsbluff|October|1996-11-12|1996-11-18|$60.00|REDUCED|$0.00|1997-01-09||
305|Fitch Trucking, Inc.|October|1996-11-10|1997-08-29|$300.00|PAID||||
306|Five Points Bank|October|1996-11-12|1997-02-18|$300.00|REDUCED|$0.00|1997-04-21||
307|Five Points Bank|December|1997-01-10|1997-02-18|$300.00|REDUCED|$0.00|1997-04-21||
308|Flinn Paving Co., Inc.|September|1996-10-10|1997-03-07|$300.00|REDUCED|$0.00|1997-04-02||
309|Flinn Paving Co., Inc.|October|1996-11-12|1997-03-07|$300.00|REDUCED|$0.00|1997-04-02||
310|Fleming Companies, Inc. d/b/a Baker's Supermarkets|March|1998-04-10|1998-07-10|$300.00|REDUCED|$0.00|1998-07-22||
311|Foote Equipment Co.|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1996-12-17||
312|Fort Calhoun Stone Company|December|1998-01-12|1998-03-24|$300.00|REDUCED|$0.00|1998-04-14||
313|Fort Kearney Feeders, Inc.|December|1998-01-12|1998-02-11|$300.00|REDUCED|$0.00|1998-03-02||
314|Four Sons, Inc.|June|1996-07-10|1996-08-27|$300.00|PAID||||
315|Fraser, Stryker, Vaughn, Meusey, Olson Boyle & Bloch|August|1996-09-10|1997-06-19|$300.00|REDUCED|$0.00|1997-06-27||
316|Fraternal Order of Police, Douglas County Lodge #2|February|1998-03-10|1998-03-12|$20.00|PAID||||
317|Fraternal Order of Police, Douglas County Lodge #2|October|1997-11-10|1997-11-13|$30.00|PAID||||
318|Fraternal Order of Police, Douglas County Lodge #2|September|1996-10-10|1997-03-04|$300.00|REDUCED|$0.00|1997-05-05||
319|Fraternal Order of Police, Douglas County Lodge #2|December|1997-01-10|1997-03-04|$300.00|REDUCED|$0.00|1997-05-05||
320|Fraternal Order of Police Lodge #8|March|1997-04-10|1998-04-03|$300.00|REDUCED|$0.00|1998-05-14||
321|Fraternal Order of Police Lodge #8|September|1997-10-10|1998-04-03|$300.00|PAID|$20.00|1998-05-14||
322|Fraternal Order of Police Lodge #8|December|1997-01-10|1997-03-10|$300.00|REDUCED|$0.00|1997-04-02||
323|Fraternal Order of Police Lodge #8|April|1996-05-10|1996-11-04|$300.00|REDUCED|$0.00|1996-12-01||
324|Fraternal Order of Police Lodge #8|May|1996-06-10|1996-11-04|$300.00|REDUCED|$0.00|1997-06-25||
325|Fraternal Order of Police Lodge #8|August|1996-09-10|1996-11-04|$300.00|REDUCED|$0.00|1996-12-01||
326|Fraternal Order of Police Lodge #8|September|1996-10-10|1996-11-04|$250.00|REDUCED|$0.00|1996-12-01||
327|Fred's Heating & A/C, Inc.|January|1997-02-10|1997-05-09|$300.00|REDUCED||1997-06-25||
328|Fremont Chamber of Commerce|October|1996-11-12|1996-12-26|$300.00|REDUCED|$0.00|1997-01-23||
329|Fremont Keno, Inc.|June|1996-07-10|1997-04-17|$300.00|REDUCED|$0.00|1997-05-09||
330|Froehlich Properties|June|1997-07-10|1998-02-12|$300.00|REDUCED|$0.00|1998-03-02||
331|Froehlich Properties|October|1997-11-10|1998-02-12|$300.00|REDUCED|$0.00|1998-03-02||
332|Froehlich Properties|November|1997-12-10|1998-02-12|$300.00|REDUCED|$0.00|1998-03-02||
333|Fuch's Machinery|January|1997-02-10|1997-04-28|$300.00|REDUCED|$0.00|1997-05-14||
334|Fun Center, Inc. d/b/a Cedar Bowl|November|1997-12-10|1998-02-20|$300.00|REDUCED|$0.00|1998-03-02||
335|Furey Heating and Air Conditioning|January|1997-02-10|1997-04-29|$300.00|REDUCED|$0.00|1997-05-14||
336|F & F Oil Co., Inc.|October|1997-11-10|1998-02-18|$300.00|REDUCED|$0.00|1998-03-02||
337|FHC Options, Inc.|August|1996-09-10|1996-10-21|$300.00|PAID||||
338|Gary's Implement, Inc.|April|1996-05-10|1996-05-26|$300.00|PAID||1996-08-05||
339|Gas & Shop, Inc.|October|1997-11-10|1998-02-03|$300.00|PAID|$10.00|1998-02-25||
340|Gas & Shop, Inc.|December|1997-01-10|1997-01-21|$110.00|REDUCED|$0.00|1997-03-17||
341|Gazelle Communications, Inc.|October|1996-11-12|1997-02-19|$300.00|REDUCED|$0.00|1997-03-12||
342|General Drivers & Helpers Local 554|October|1996-11-10|1997-09-29|$300.00|PAID||||
343|Genls Incorporated|April|1996-05-10|1996-08-12|$300.00|REDUCED|$0.00|1996-08-23||
344|Gering State Bank & Trust Co.|April|1996-05-10|1996-06-07|$280.00|REDUCED|$0.00|1996-06-19||
345|Geschwender Real Estate|September|1996-10-10|1997-01-31|$300.00|REDUCED|$0.00|1997-02-12||
346|Geschwender Real Estate|October|1996-11-12|1997-01-31|$300.00|REDUCED|$0.00|1997-02-12||
347|Geschwender Relocation, Inc.|January|1998-02-10|1998-02-11|$10.00|REDUCED|$0.00|1998-03-06||
348|D J Getz Company|May|1996-06-10|1996-07-29|$300.00|REDUCED|$0.00|1996-08-06||
349|Gibraltar Packaging Group, Inc. d/b/a Great Plains Packaging|October|1996-11-12|1997-03-18|$300.00|REDUCED|$0.00|1997-04-08||
350|Gibreal Auto Leasing|July|1996-08-10|1997-06-30|$300.00|REDUCED|$0.00|1997-08-19||
351|Gilman Motor Company|October|1996-11-12|1997-02-24|$300.00|REDUCED|$0.00|1997-03-13||
352|Ginn Oil Company|June|1997-07-10|1997-07-25|$150.00|REDUCED|$0.00|1997-08-26||
353|Global Industries, Inc.|September|1996-10-10|1997-01-08|$300.00|REDUCED|$0.00|1997-02-03||
354|Global Industries, Inc.|October|1996-11-12|1997-01-08|$300.00|REDUCED|$0.00|1997-02-03||
355|Gooch Foods, Inc.|January|1998-02-12|1998-04-27|$300.00|PAID||||
356|Gothenburg Area Chamber of Commerce|October|1996-11-12|1996-11-15|$30.00|REDUCED|$0.00|1997-01-09||
357|Gottsch Feeding Corporation|October|1997-11-10|1998-03-16|$300.00|REDUCED|$0.00|1998-03-27||
358|Ted Grace Construction|April|1997-05-12|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
