Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
13BQC00337|2013 CENTENNIAL BOND BOARD (NOT REGISTERED)|PO BOX 324|UTICA|NE|68456|B|1900-01-01|1900-01-01|I|Utica School Bond |||1900-01-01||||||||||1900-01-01|||
13BQC00368|2013 EHLTON BOND ISSUE COMMITTEE (NOT REGISTERED)|210 9TH STREET|SHELTON|NE|68876|B|1900-01-01|1900-01-01|I|Shelton School Bond|||1900-01-01||||||||||1900-01-01|||
08BQC00200|25 COUNTIES FOR OUR FUTURE|PO BOX 2024; 1413 CRANE AVENUE|HASTINGS|NE|68902|B|2008-08-08|2008-08-08|I|Shall Central Community College, be allowed to Levy a property tax.|0||2008-08-22||||||||||2008-11-04|G||
13BQC00331|A BETTER OMAHA COMMITTEE (NOT REGISTERED)|NOT REGISTERED|OMAHA |NE|68114|B|1900-01-01|1900-01-01|||||1900-01-01||||||||||2013-04-13|||
08CAC01163|AARON A. CLARK FOR SCHOOL BOARD (DISSOLVED)|2211 S. 181ST CIRCLE |OMAHA|NE|68130|C|2008-07-01|2008-06-30|I||||2008-06-26|||||||||2013-12-19|2012-11-16|G||
07PAC00152|ABATE OF NE INC. PAC|1701 K STREET, P.O. BOX 30322|LINCOLN|NE|68503|S|2007-07-25|2007-07-24|I||||2007-07-23|||||||||2008-06-09||||
07CAC01019|ABBOTT FOR COUNCIL (DISSOLVED)|610 SYCAMORE DRIVE|LINCOLN|NE|68510|C|2007-03-02|2007-03-02|I||||2007-02-28|||||||||2007-12-12|2007-04-03|||
07CAC01032|ABC COMMITTEE (NOT A REGISTERED COMMITTEE)|11724 N. 172ND CIRCLE|BENNINGTON|NE|68007|C|2007-06-06|2007-06-06|I||||2007-06-01|||||||||||||
13BQC00334|ABS COMMITTEE (NOT REGISTERED)|NOT REGISTERED|OMAHA |NE|68114|B|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2013-04-13|||
07IRC00480|ACTBLUE NEBRASKA|1936 RYONS STREET|LINCOLN|NE|68502|I|2007-06-08|2007-06-06|I||||2007-06-29||||||||||2012-11-08|P||
14CAC01954|ADAM HINTZ FOR NRD (NOT REGISTERED)|NOT REGISTERED|LINCOLN|NE|68509|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2014-05-13|P||
15CAC02107|ADAM YALE FOR WESTSIDE BOARD EDUCATION|8748 FREDERICK STREET|OMAHA|NE|68124|C|2015-11-06|2015-11-04|I||||2015-11-02||||||||||2016-05-10|P||1
11BQC00302|ADAMS CENTRAL PATRONS & TEACHERS FOR STUDENTS 2011|2706 NORTH BALTIMORE AVENUE|HASTINGS|NE|68901|B|2011-10-28|2011-10-27|I|Building a one-site elementary school|0||2011-10-25||||||||||2011-11-15|||
09BQC00254|ADAMS CENTRAL PATRONS &AMP; TEACHERS FOR STUDENTS 2010|2706 NORTH BALTIMORE AVE|HASTINGS|NE|68901|B|2009-11-20|2009-11-19|I|Building a one-site elementary School|0|I|2009-11-13|||||||||2010-10-15|2010-05-11|P||
99CAC00509|ADAMS FOR MAYOR (DISSOLVED)|BOX 468|HASTINGS|NE|687020468|C|2000-09-26|2000-09-26|I||0|I|2000-02-09|||||||||2001-12-21|2000-11-07|G||
99CAC00714|ADAMS FOR MAYOR OF NORFOLK NE (DISSOLVED)|BOX 468|NORFOLK|NE|68702|C|2004-08-25|2004-08-24|I||0|I|2004-10-19|||||||||2006-01-03|2004-11-02|G|1|1
12CAC01680|ADAMS FOR SUPERVISOR (NOT REGISTERED)|116 NORTH DOUGLAS STREET, BOX 37|BLUE SPRINGS|NE|68318|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2012-05-15|P||
12CAC01698|ADRIAN PETRESCU FOR LEGISLATURE (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68145|C|2012-08-15||||||9999-12-31|||||||||||||
08BQC00210|ADVOCATES FOR BETTER CLASSROOMS (NOT REGISTERED)|525 WEST OAK AVENUE|ELM CREEK|NE|68836|B|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-11-04|G||
11BQC00298|ADVOCATES FOR CMS (DISSOLVED)|3660 BROOKSHIRE PL|COLUMBUS|NE|68601|B|2011-09-07|2011-09-06|I|Build New Middle School|0||2011-09-01|||||||||2014-06-06|2011-10-11|||
99PAC00027|AGC PAC (HIGHWAY IMPROVEMENT PAC)|635 SOUTH 14TH STREET-STE# 125|LINCOLN|NE|68508|S|1985-04-26|1985-04-26|I||0|I|1985-04-26||||||||||2012-11-08|G||
99CAC00018|AGENA FOR ASSESSOR (DISSOLVED)|941 DAYBREAK DRIVE|LINCOLN|NE|68505|C|1989-11-29|1989-11-29|I||0| |1989-11-29|       |          |||||||1998-07-30|1998-05-04|P|0|0
99CAC00587|AGENA FOR COUNTY ASSESSOR / REGISTER OF DEEDS(DISS|6901 FOREST LAKE BLVD|LINCOLN |NE|68516|C|2002-03-15|2002-03-14|I||0|I|2002-03-15|||||||||2015-08-04|2006-11-07|G||1
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|1999-01-04|1998-09-04|A|CONSTITUTIONAL AMENDMENT 413                      |1|I|1998-09-04||99IRC00027||||||R|1999-01-04|1998-11-04|G|0|0
