Form A1 ID Number|Date Received|Candidate ID|Candidate Last Name|Candidate First Name|Candidate Middle Initial|Support/Oppose|Office Sought|Office Title|Office Description
99CAC00389|1999-04-13|99FIS01137|KUBICEK|TERRENCE|L|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00205|1994-04-01|99FIS01423|JENSEN|JAMES|H|0|LEGISLATURE - DISTRICT 20-LEGISLATIVE COUNCIL     |20|LEGISLATURE
09CAC01379|2009-09-03|99FIS01527|MORGAN|P.J.| |0|COUNTY COMMISSIONER DIST. #04|COUNTY COMMISSIONER DIST. #04|DOUGLAS
99CAC00021|1986-03-21|99FIS01775|ANDERSON|RICHARD|D|0|COUNTY ATTORNEY-BUFFALO                           |COUNTY ATTORNEY|BUFFALO
99CAC00654|2004-01-28|99FIS01786|ARGANBRIGHT|WARREN|R|0|43-LEGISLATURE                                    |43|LEGISLATURE
99CAC00006|1981-09-14|99FIS00006|WESELY|DON| |0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
12CAC01630|2012-03-13|99FIS00008|LARSEN|LILLIAN|M|0|01|01|STATE BOARD OF EDUCATION
99CAC00456|2000-04-10|99FIS00009|EDWARDS|PAUL| |0|LEGISLATURE - DISTRICT 27-LEGISLATIVE COUNCIL     |27|LEGISLATURE
99CAC00003|1999-02-22|99FIS00010|COOK|JONATHAN| |0|CITY COUNCIL DISTRICT #03-LINCOLN                 |CITY COUNCIL DISTRICT #03|LINCOLN
99CAC00248|1997-02-28|99FIS00010|COOK|JONATHAN| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
99CAC00008|1999-02-01|99FIS00011|SVOBODA|KEN| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
09CAC01367|2009-03-09|99FIS00011|SVOBODA|KEN| |0|CITY COUNCIL AT LARGE|CITY COUNCIL AT LARGE|LINCOLN
06CAC00937|2006-09-26|99FIS00011|SVOBODA|KEN| |0|MAYOR|MAYOR|LINCOLN
99CAC00011|1999-02-17|99FIS00013|CAMP|JON|A|0|CITY COUNCIL DISTRICT #02|CITY COUNCIL DISTRICT #02|LINCOLN
99PAC00132|2003-05-05|99FIS00013|CAMP|JON|A|0|CITY COUNCIL DISTRICT #02-LINCOLN                 |CITY COUNCIL DISTRICT #02|LINCOLN
99CAC00330|1985-02-15|99FIS00016|SENG|COLEEN| |0|CITY COUNCIL DISTRICT #01-LINCOLN                 |CITY COUNCIL DISTRICT #01|LINCOLN
99CAC00642|2003-03-11|99FIS00016|SENG|COLEEN| |0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
