Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
AGC PAC (HIGHWAY IMPROVEMENT PAC)|06CFL002176|99PAC00027|2006-10-31|2006-10-31|0|Wildberry Production, Miller Mailing, Augstums Printing||Lincoln|NE|68502||2006-10-31|3880.91|05FIS09994|S |||2006-11-06|nadc01|WILLIAM (BILL)  P AVERY
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003235|99PAC00027|2008-10-29|2008-10-29|7830244|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521||2008-10-27|3755.87|08FIS11036|S |||2008-11-04|nadc01|KENNETH W HAAR
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003236|99PAC00027|2008-10-29|2008-10-29|7830245|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521|5012|2008-10-27|3714.25|99FIS09526|S |||2008-11-04|nadc01|LAVON L HEIDEMANN
ALL THINGS NEBRASKA|12CFL004850|10BQC00278|2012-11-06|2012-11-06|8730216|Red State Strategies|Po Box 540975|Omaha|NE|68154-0975|4029340770|2012-11-02|7500|11FIS12194|O |||2012-11-13|nadc06|RICHARD  CARTER
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003185|08IRC00484|2008-10-28|2008-10-28|7830246|Clark Creative Group -Paul Eurek|514 S. 13th Street|omaha|NE|68102||2008-10-27|4995.7|07FIS10951|O |||2008-11-04|nadc01|PAUL  EUREK
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003186|08IRC00484|2008-10-27|2008-10-28|7830247|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||2008-10-24|6065.25|08FIS11036|S |||2008-11-04|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003187|08IRC00484|2008-10-27|2008-10-28|7830248|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||2008-10-24|6062.53|07FIS10926|S |||2008-11-04|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003188|08IRC00484|2008-10-27|2008-10-28|7830249|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard St. #420|alexandria|VA|22311||2008-10-24|6333.23|99FIS09559|S |||2008-11-04|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003189|08IRC00484|2008-10-27|2008-10-28|7830250|Mack Crounse Group - Lorenzen2008|2001 N. Beauregard St. #420|Alexandria|VA|22311||2008-10-24|6562.25|08FIS10973|S |||2008-11-04|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003190|08IRC00484|2008-10-27|2008-10-28|7840001|United Enterprise Co. - Lorenzen2008|10913 E Cir|Omaha|NE|68137||2008-10-24|1607.69|08FIS10973|S |||2008-11-04|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003191|08IRC00484|2008-10-27|2008-10-28||Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||2008-10-24|6622.33|07FIS10930|S |||2008-10-29|nadc01|REX  J MOATS
