Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
DWITE PEDERSEN FOR PUBLIC OFFICE|99CAC00169|2005-01-10|2004-11-20|50|C|REBATE FROM HP ( PRIOR COMPUTOR PURCHASE
DWITE PEDERSEN FOR PUBLIC OFFICE|99CAC00169|2005-01-10|2004-11-12|287.33|C|REIMBURSEMENT FOR TAIL LIGHT DAMAGE     
COMMITTEE TO ELECT BEV PETERSON|99CAC00171|2001-01-10|2000-11-06|250|O|LATE FILING FEE                         
CAROL MCBRIDE PIRSCH FOR DOUGLAS COUNTY BOARD|99CAC00175|2002-01-31|2001-03-30|1556|O|USPS PERMIT BALANCE REFUND              
LINDA POOLE FOR MILLARD SCHOOL BOARD|99CAC00177|2002-01-08|2000-12-31|1645|C|RETURN OF CONTRIBUTIONS TO LINDA POOLE  
PEOPLE FOR PREISTER|99CAC00178|2001-01-16|2000-12-31|250|C|RETURNED $250 FROM NE STATE AFL-CIO     
FRIENDS OF DEB HOUGHTALING SARPY COUNTY CLERK|99CAC00186|2012-01-04|2011-12-31|-200|A|misc cash expenditures
HUTCHINGS FOR COUNTY BOARD COMMITTEE|99CAC00187|2010-12-23|2010-10-20|63|A|Bank Service Fees
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE(DISSOLVED|99CAC00190|2000-03-21|2000-03-15|2368.11|O|PAYMENT MADE AFTER CLOSING BANK ACCOUNT 
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE(DISSOLVED|99CAC00190|2000-03-21|1998-01-01|4490.25|O|RETURN DEPOSIT FOR PHONE                
CONNEALY FOR LEGISLATURE (DISSOLVED)|99CAC00191|2007-01-29|2006-12-31|79.18|O|voided alltel check
CONNEALY FOR LEGISLATURE (DISSOLVED)|99CAC00191|2000-01-20|1999-12-31|.53|C|FROM PREVIOUS STATEMENT                 
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-06-24|2002-06-02|21.98|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-05-06|2002-04-25|3500|C|TRANSFER CD TO CHECKING                 
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-05-06|2002-04-25|30.2|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-05-06|2002-04-08|36.99|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-04-15|2002-01-25|30.87|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-04-15|2002-01-07|37.81|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-01-31|2001-12-31|542.8|C|INTEREST FROM 2 CD'S & CK ACCT          
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-01-31|2001-10-25|3000|C|TRANSFERRED CD TO CK ACCT               
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2002-01-31|2001-01-08|1500|C|TRANSFERRED CD TO CK ACCT               
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2001-02-01|2000-12-31|628.13|C|SAVINGS ACCT AT EWING FARMERS BANK      
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2001-02-01|2000-10-26|1500|C|TRANSFERRED CD TO CHECKING ACCT         
DIERKS FOR LEGISLATURE (2002)|99CAC00195|2000-01-28|1999-12-31|730.85|O|SAVINGS ACCT                            
DUNNING FOR SHERIFF|99CAC00201|2002-06-21|2002-05-15|200|C|OMAHA POLICE UNION RETURNED DEPOSIT     
DUNNING FOR SHERIFF|99CAC00201|2000-01-25|1999-06-23|18000|C|PURCHASED A C.O.D. AT US BANK           
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2007-01-18|2006-12-31|105.37|O|INTEREST INCOME, REDUCE CASH ON HAND, IN
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2006-01-24|2005-12-31|69.62|O|2005 INTEREST INCOME, REDUCE CASH ON HAN
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2009-01-27|2008-12-31|115.38|O|Interest income
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2010-01-27|2009-12-07|3784.08|O|interest and CD transferred back to ch a
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2005-02-02|2004-12-31|36.52|O|2004 INTEREST INCOME                    
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2005-02-02|2004-12-31|33.75|O|INTEREST INCOME FROM PREVIOUS YEAR      
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2002-02-04|2001-12-31|235.95|C|INTEREST                                
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2002-02-04|2001-10-03|1000|C|CD MATURED - TRANSFER TO CHECKING       
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2001-01-29|2000-12-31|242.97|C|INT INCOME RPTD FROM CD CD ROLLED OVER  
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2000-01-28|1999-12-31|131.46|C|INTEREST INCOME REPORTED FROM 13 MO. CD 
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|2000-01-28|1999-01-26|3500|C|TRANSFERRED DOLLARS FROM CHECKING       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-03-15|-799.99|O|IN KIND TO NE REP/ LAPTOP COMPUTER 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-02-28|-1450.29|O|IN KIND TO NE REP/OFFICE FURNITURE 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-02-25|-2032|O|IN KIND TO NE REP/COPIER PRINTER 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-01-13|320.18|A|POSTMASTER ACCOUNT REFUND
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-04-14|55.52|A|PETTY CASH BALANCE DEPOSITED INTO CHECKI
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-04-14|614|A|AMERICAN FAMILY INSURANCE CANCEL WRK COM
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-03-28|302.7|A|POSTMASTER CLOSING BULK ACCOUNT REFUND 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-03-28|61.63|A|ALLTEL CLOSING PHONE ACCOUNT REFUND
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-03-28|51.59|A|CONNIE WALT PURCHASE OFFICE FURNITURE  
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-03-28|129.85|A|VICKI POWELL - PURCHASE OFFICE FURNITURE
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-02-24|157.79|A|N STREET DRIVE CHECK NEVER CASHED 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-02-24|500|A|ENRON NATURAL GAS CHECK NEVER CASHED 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-05-24|2005-01-13|2309.68|A|UNIVERSAL INFORMATION SERVICES 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-07-01|200|C|SOLD COMPUTER                           
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-06-10|160|C|REFUND INSURANCE                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-02-08|89.2|C|REFUND INSURANCE                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-02-05|57.89|C|CREDIT FOR 3149                         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-02-05|57.89|C|REPLACE CK 3149                         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-01-21|11841.5|C|REPAY SALARIES                          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-01-21|702|C|RADIO REFUND                            
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-01-21|85.01|C|REFUND SNITILY CARR                     
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-01-11|77|C|REFUND FAMILY INSURANCE                 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-01-31|2004-08-11|27.04|C|TIME WARNER CABLE DISCONNECT REFUND     
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-01-31|2004-08-11|19|C|LIABILITY REFUND                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-01-31|2004-08-11|818|C|WORK COMP REFUND                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-01-31|2004-03-31|30|C|REFUND DEPOSIT OF PARKING CARDS         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2005-01-31|2004-03-31|52.26|C|REFUND OF POSTAGE                       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-10-23|294|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-08-10|185|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-07-09|242.43|C|POSTMASTER-REFUND BALANCE IN POSTAGE DUE
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-04-11|10|C|JOAN SUTHER-REFUND RESERVED PARKING CARD
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-04-11|1029.8|C|STATE OF NEBRASKA-UNCLAIMED REFUND      
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-02-10|60|C|TIER ONE CENTER FMA-REFUND RESERVED PARK
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2004-01-30|2003-01-29|1000|C|GOVERNOR'S INAUGURAL BALL COMM.-REIMBURS
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2003-01-14|2002-12-30|747.43|O|REFUND FROM QWEST COMMUNICATIONS        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2003-01-14|2002-12-30|369.4|O|REFUND FROM TRIAD BROADCASTING          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2003-01-14|2002-12-19|155.51|O|REIMBURSEMENT FROM HOLLEY HATT/PHONE    
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-10-07|2002-07-19|67.6|C|BALANCE GOVERNOR'S COUNCIL              
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-06-24|2002-06-09|20|C|RETURNED CONTRIBUTION FROM PREV. STMT   
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-06-24|2002-05-31|.37|C|CHECK CASHING DIFFERENCE                
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-05-06|2002-04-29|12.92|C|MIKE JOHANNS, POSTAGE REIMBURSEMENTS    
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-05-06|2002-04-18|15.98|C|MIKE JOHANNS POSTAGE REIMBURSEMENTS     
