Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|Report ID|PAC Name
JOHN HENRY'S PLUMBING, HEATING CO.|99CON00807|2004-09-27|CORIEJ  |2004-09-23|2004-09-22|6840205|C|          ||
VILLAGE LAND COMPANY|99CON00981|2002-08-12|TERII   |2002-08-05|2002-08-02|6430094|C|          ||
BLUE RIVER LAND CORPORATION|99CON01013|2002-01-28|TERII   |2002-01-22|2002-01-22|6250145|C|          ||
LINCOLN FEDERAL BANCORP|99CON01014|2004-09-20|CORIEJ  |2004-09-16|2004-09-15|6840174|C|          ||
TRACEY BROADCASTING|99CON01110|2000-10-16|KAREN   |2000-10-05|2000-10-03|5980101|C|          ||
FIRST STATE BANK OF HICKMAN|99CON01393|2005-02-24|CORIEJ  |2005-02-10|2005-02-09|6920234|C|          ||
AMERICAN NATIONAL BANK - OMAHA|99CON01398|2005-02-24|SERENAD |2005-01-31|2005-01-27|6920087|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|2000-09-27|KATHYS  |1999-10-12|1999-10-08|5760055|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|2000-09-27|KATHYS  |2000-03-15|2000-03-14|5870040|C|          ||
WERNER CONSTRUCTION, INC.|99CON01406|2002-08-26|TERII   |2002-08-19|2002-08-16|6430140|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|2001-12-03|TERII   |2001-11-26|2001-11-19|6220126|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|2002-07-12|TERII   |2002-07-10|2002-07-08|6420208|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|2004-11-01|CORIEJ  |2004-10-26|2004-10-25|6870108|C|          ||
WISE-MACK, INC|99CON01423|2000-11-29|KAREN   |2000-11-21|2000-11-20|6010155|C|          ||
HOSE & HANDLING, INC.|99CON01537|2000-12-04|KAREN   |2000-11-28|2000-11-27|6010169|C|          ||
NORTH PLATTE HOME BUILDERS ASS|99CON01573|2001-05-21|SERENAD |2001-05-16|2001-05-14|6180214|C|          ||
HIGH PLAINS BUDWEISER|99CON01708|2001-10-15|TERII   |2001-10-09|2001-10-09|6210247|C|          ||
K & Z DIST. COMPANY |99CON01731|2004-10-18|CORIEJ  |2004-10-12|2004-10-12|6860024|C|          ||
K & Z DIST. COMPANY |99CON01731|2004-11-29|SERENAD |2004-11-22|2004-11-19|6880114|C|          ||
DELOITTE LLC|99CON01871|2001-04-12|KAREN   |2001-04-05|2001-04-04|6150187|C|          ||
CHUBB'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|2004-10-13|CORIEJ  |2004-10-08|2004-10-07|6850184|C|          ||
CHUBB'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|2004-11-01|CORIEJ  |2004-10-29|2004-10-28|6870091|C|          ||
SPRINT|99CON02331|2001-03-02|KAREN   |2001-01-12|2001-01-11|0      |C|          ||
SPRINT|99CON02331|2002-03-04|TERII   |2002-02-27|2002-02-26|6300199|C|          ||
SPRINT|99CON02331|2002-04-15|TERII   |2002-04-09|2002-04-08|6380001|C|          ||
PUBLICATION PRINTING OF NE, IN|99CON02366|2004-06-07|CHERYLD |2004-06-03|2004-06-02|6810057|C|          ||
UNEMED CORPORATION|99CON02473|2000-10-02|KAREN   |2000-09-28|2000-09-26|5980013|C|          ||
BURKES LIST MANAGEMENT SVCS|99CON02476|2003-10-06|PATTIEV |2003-10-03|2003-10-02|6640013|C|          ||
BRASHEAR & GINN|99CON02503|2007-02-08|nadc06|2001-06-08|2001-06-07|6190123|C|          ||
KINDER-MORGAN|99CON02687|2000-12-19|KAREN   |2000-12-15|2000-12-15|6010234|C|          ||
KINDER-MORGAN|99CON02687|2001-10-23|TERII   |2001-10-18|2001-10-14|6220019|C|          ||
KINDER-MORGAN|99CON02687|2001-11-05|TERII   |2001-11-01|2001-10-30|6220053|C|          ||
KINDER-MORGAN|99CON02687|2002-06-28|TERII   |2002-06-26|2002-06-24|6420132|C|          ||
KINDER-MORGAN|99CON02687|2004-05-24|CHERYLD |2004-05-17|2004-05-14|6800151|C|          ||
FREMONT AREA SERVICE CLUB|99CON02741|2000-10-02|KAREN   |2000-09-26|2000-09-15|5980002|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|2004-02-25|PATTIEV |2004-01-29|2004-01-28|6670051|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|2004-08-16|SERENAD |2004-08-09|2004-08-06|6830188|C|          ||
