Contributor Name|Form ID|Contributor ID|Postmark Date|Date Received|Microfilm Number|Contributor Type|Date Last Revised|Last Revised By|Contributor Phone
INTERNATIONAL ASSN OF FIRE FIGHTERS|11CFL004753|99CUA02822|2011-09-07|2011-09-12|0|L|2011-09-14|nadc01|
BOYD GAMING CORPORATION|06CFL000364|06CUA03631|2006-04-03|2006-04-03|7260024|C|2006-05-02|nadc01|7027927200
BOYD GAMING CORPORATION|06CFL000389|06CUA03631|2006-05-05|2006-05-05|7300018|C|2006-05-12|nadc06|7027927200
FORT MCDOWELL YAVAPAI NATION|06CFL000408|06CON11358|2006-05-10|2006-05-10|7300145|P|2006-05-15|nadc06|4808167146
AMERICA AT ITS BEST (MT)|06CFL000438|06CON11374|2006-06-13|2006-06-13|7320095|C|2006-06-19|nadc06|4062576001
AMERICA AT ITS BEST (MT)|06CFL000524|06CON11374|2006-08-08|2006-08-08|7340134|C|2006-08-14|nadc06|4062576001
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CUA03815|2006-11-09|2006-11-09||L|2006-11-09|nadc06|2028334000
AMERICA AT ITS BEST (MT)|06CFL002227|06CON11374|2006-11-09|2006-11-09||C|2006-11-13|nadc06|4062576001
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003687|09CUA06199|2009-07-06|2009-07-09|8030019|P|2009-07-13|nadc06|5714804860
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003450|09CUA06199|2009-05-08|2009-05-11|8010119|P|2009-05-18|nadc06|5714804860
BOYD GAMING CORPORATION|06CFL000535|06CUA03631|2006-09-06|2006-09-06|7350062|C|2006-09-11|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000431|06CUA03631|2006-06-06|2006-06-06|7310234|C|2006-06-12|nadc06|7027921150
AMERICA AT ITS BEST (MT)|06CFL000826|06CON11374|2006-09-11|2006-09-11|7350142|C|2006-09-18|nadc06|4062576001
AMERICA AT ITS BEST (MT)|06CFL001355|06CON11374|2006-10-06|2006-10-06|7360128|C|2006-10-16|nadc05|4062576001
COLORADO AT ITS BEST|06CFL001364|06CUA03813|2006-10-10|2006-10-10||C|2006-10-16|nadc01|
REPUBLICAN GOVERNORS ASSOCIATION|06CFL001389|06CON12390|2006-10-25|2006-10-25||P|2006-10-25|nadc06|2026624140
TEAM SAM|08CFL002594|08CUA04930|2008-05-20|2008-05-27|7780014|C|2008-06-03|nadc06|3129200080
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003110|08CON13671|2008-09-10|2008-09-15|7810022|C|2008-09-22|nadc06|9164442278
AMERICA AT ITS BEST (MT)|06CFL000505|06CON11374|2006-07-06|2006-07-06|7330173|C|2006-07-10|nadc06|4062576001
COLORADO AT ITS BEST|06CFL000512|06CUA03813|2006-07-07|2006-07-07|7330175|C|2006-07-10|nadc06|3032783636
NATIONAL EDUCATION ASSOCIATION|06CFL000518|06CUA03815|2006-07-10|2006-07-10|7330229|L|2006-07-17|nadc06|2028334000
AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES|06CFL001357|99CUA01007|2006-10-05|2006-10-10||C|2006-10-16|nadc01|9164411570
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CON13671|2008-06-10|2008-06-13|7780122|C|2008-06-16|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CON13671|2008-11-07|2008-11-13|7840185|C|2008-11-17|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CON13671|2008-08-13|2008-08-14|7800111|C|2008-08-18|nadc06|
WOODBURY CORPORATION|10CFL004508|10CON15745|2010-05-18|2010-05-18|8240087|C|2010-05-25|nadc06|8014857770
WOODBURY CORPORATION|10CFL004511|10CON15745|2010-05-24|2010-05-27|8240120|C|2010-06-01|nadc06|8014857770
BOYD GAMING CORPORATION|06CFL000521|06CUA03631|2006-08-03|2006-08-03|7340089|C|2006-08-07|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000497|06CUA03631|2006-07-06|2006-07-06|7330174|C|2006-07-10|nadc06|7027927200
NATIONAL EDUCATION ASSOCIATION|08CFL002750|06CUA03815|2008-08-18|2008-08-18|7800128|L|2008-08-25|nadc06|2028334000
TIDES FOUNDATION|08CFL002754|08CUA05122|2008-08-21|2008-08-25|7800153|C|2008-09-02|nadc06|4155616400
TEAM SAM|08CFL003246|08CUA04930|2008-11-06|2008-11-10|7840186|C|2008-11-17|nadc06|
NEA FUND FOR CHILDREN & PUBLIC EDUCATION, THE|10CFL004336|99CON02492|2010-02-26|2010-03-01|8140179|L|2010-03-11|nadc06|2028227332
COAST CASINOS, INC.|05CFL1|99CON08017|2005-03-31|2005-04-01|7010163|C|2005-04-11|nadc06|7023657000
