Contributor Name|Form B9 ID|Form ID|Recipient ID|Support/Oppose|Nature of Expenditure|Expenditure Date|Previous Total|Amount|Total|Description|Entry Date|Recipient Name
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002632|07BQC00181|S|A|2008-01-07||4584.22|4584.22|None|061320081022147839|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002633|07BQC00181|S|B|2008-01-26||1500|1500|None|0613200810225825085|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002634|07BQC00181|S|B|2008-02-24||1500|1500|None|0613200810233519562|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002635|07BQC00181|S|A|2008-05-12||25000|25000|None|0613200810240825209|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002636|07BQC00181|S|A|2008-05-16||12000|12000|None|0613200810243419673|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002637|07BQC00181|S|A|2008-05-19||50000|50000|None|0613200810250225300|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002638|07BQC00181|S|A|2008-05-22||30000|30000|None|0613200810252825340|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002639|07BQC00181|S|A|2008-05-29||25000|25000|None|061320081025558187|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002687|07BQC00181|S|A|2008-06-03|149584.22|100000|249584.22|None|0714200810262425950|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002687|07BQC00181|S|A|2008-06-03||100000|100000|None|0714200810262425950|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002688|07BQC00181|S|A|2008-06-12||40000|40000|None|07142008102733663|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002689|07BQC00181|S|A|2008-06-17|0|85000|85000|None|0714200810280926115|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002690|07BQC00181|S|A|2008-06-27|0|65000|65000|None|0714200810284426151|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002709|07BQC00181|S|A|2008-07-02||60000|60000||0814200810143626111|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002710|07BQC00181|S|A|2008-07-11||16500|16500||081420081015174709|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002711|07BQC00181|S|A|2008-07-31|15000||15000||0814200810155626297|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003110|08CFL003145|07BQC00181|S|A|2008-08-15||10000|10000||1015200814203027861|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CFL003259|07BQC00181|S|A|2008-10-08|0|18000|18000|None|1113200810292721297|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CFL003260|07BQC00181|S|A|2008-10-23||28500|28500|None|1113200810295112557|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|10CFL004283|10CFL004285|07BQC00181|S|B|2010-01-29|28655.83||28655.83||0216201015164016061|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ALLIANCE COAL LLC|14CFL005336|14CFL005337|13CAC01828|S|A|2014-07-14||10000|10000||0811201416520017477|PETE RICKETTS FOR GOVERNOR
AMERICA AT ITS BEST (MT)|06CFL000438|06CFL000439|06BQC00135|S|A|2006-05-12|0|100000|100000||061320061039295713|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000438|06CFL000440|06BQC00136|S|A|2006-05-16||125000|125000||061320061039535823|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000505|06CFL000510|06BQC00135|S|A|2006-06-05|100000|520000|620000||0707200609583717086|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000505|06CFL000511|06BQC00136|S|A|2006-06-05|125000|480000|605000||0707200609590117158|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000524|06CFL000525|06BQC00135|S|A|2006-07-06|620000|240000|860000||080820061027596825|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000524|06CFL000526|06BQC00136|S|A|2006-07-06|605000|230000|835000|  |080820061028357001|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000826|06CFL000827|06BQC00135|S|A|2006-08-23|860000|50000|910000||09112006132426803|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000826|06CFL000828|06BQC00136|S|A|2006-08-29|835000|80000|915000| |0911200613245524409|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002230|06BQC00135|S|B|2006-10-03|910000|225000|1135000||1113200607474810491|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002230|06BQC00135|S|B|2006-10-03|910000|250000|1160000||1113200607474810491|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002231|06BQC00135|S|A|2006-10-11|1135000|200000|1335000||1113200607482010520|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002231|06BQC00135|S|A|2006-10-11|1135000|225000|1360000||1113200607482010520|STOP OVER SPENDING NEBRASKA (DISSOLVED)
