Candidate First Name|Candidate Last Name|Candidate ID|Date Received|Income Source Name|Income Source Address|Income Reason|Type of Inocome
THOMAS|LYNAM|99FIS00058|1999-05-11|HDR INC. NANCY LYNAM 401K     |LOAN)  8404 INDIAN HILLS DR.            ||C
THOMAS|LYNAM|99FIS00058|1999-05-11|                              |                                        || 
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|DOUGLAS COUNTY                |OMAHA NE                                ||I
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|RENTAL INCOME PROPERTY        |                                        ||I
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|HUSBANDS INCOME               |OMAHA NE                                ||I
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|DOUGLAS CO HOSPITAL           |OMAHA NE                                ||B
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|DOUGLAS CO  BRD EQUALIZAT     |OMAHA NE                                ||B
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|DOUGLAS CO LAND REV.          |OMAHA NE                                ||B
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|1ST NATIONAL BANKOF OMAHA     |OMAHA NE                                ||F
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|OMAHA POLICE FED CREDIT U     |OMAHA NE                                ||F
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|ENRON CORP                    |                                        ||S
KATHLEEN|MCCALLISTER|99FIS00062|2000-03-30|AETNA                         |                                        ||S
GEORGE|MILLS|99FIS00071|1999-07-08|CBS REAL ESTATE               |1200 PACIFIC  OMAHA, NE                 ||I
GEORGE|MILLS|99FIS00071|1999-07-08|DOUGLAS CO. COMMISSIONER      |1819 FARNAM ST.  OMAHA, NE              ||I
GEORGE|MILLS|99FIS00071|1999-07-08|BERKSHIRE HATHAWAY            |3555 FARNAM ST.  OMAHA, NE              ||I
GEORGE|MILLS|99FIS00071|1999-07-08|DOUGLAS CO. HOSPITAL          |4102 WOOLWORTH  OMAHA, NE               ||B
GEORGE|MILLS|99FIS00071|1999-07-08|DOUGLAS CO. LAND REUTILIZ     |500 S. 18TH ST.  OMAHA, NE              ||B
GEORGE|MILLS|99FIS00071|1999-07-08|PASSAGE LLC                   |5146 PINE ST.  OMAHA, NE                ||B
GEORGE|MILLS|99FIS00071|1999-07-08|1ST NATIONAL BANK             |16TH & DODGE ST.  OMAHA, NE             ||F
GEORGE|MILLS|99FIS00071|1999-07-08|SECURITY NATIONAL BANK        |52ND & CENTER   OMAHA, NE               ||F
GEORGE|MILLS|99FIS00071|1999-07-08|ENTERPRISE BANK               |210 REGENCY PKWY.  OMAHA, NE            ||F
GEORGE|MILLS|99FIS00071|1999-07-08|COCA-COLA                     |                                        ||S
GEORGE|MILLS|99FIS00071|1999-07-08|GILLETTE                      |                                        ||S
GEORGE|MILLS|99FIS00071|1999-07-08|JANUS FUND                    |                                        ||S
GEORGE|MILLS|99FIS00071|1999-07-08|AMERICAN CENTURY ULTRA        |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|DOUGLAS COUNTY ATTORNEY       |DOUGLAS COUNTY, NE                      ||I
JAMES|JANSEN|99FIS00072|1999-05-14|OMAHA COMMUNITY PARTNERSH     |PKCC 232  OMAHA, NE                     ||B
JAMES|JANSEN|99FIS00072|1999-05-14|DOMESTIC VIOLENCE COORD.      |COUNCIL)  1325 S. 72  OMAHA, N          ||B
JAMES|JANSEN|99FIS00072|1999-05-14|NORWEST BANK                  |4725 S. 84TH ST.  RALSTON, NE           ||F
JAMES|JANSEN|99FIS00072|1999-05-14|U.S. BANK                     |4818 SO. 108TH  OMAHA, NE               ||F
JAMES|JANSEN|99FIS00072|1999-05-14|PINNACLE BANK                 |10805 Q ST.  OMAHA, NE                  ||F
JAMES|JANSEN|99FIS00072|1999-05-14|ADVANCED DISPLAY TECH.        |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|AMERICAN EXPRESS, INC.        |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|CENTURY COMMUNICATIONS        |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|COMMERCIAL FED. CORP.         |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|WORLD COM INC.                |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|WILLIAMS COMPANIES, INC.      |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|RCN CORP.                     |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|FIRST DATA CORP.              |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|SMITH BARNEY APPRECIATION     |FUND)                                   ||S
JAMES|JANSEN|99FIS00072|1999-05-14|GABELLI EQUITY TRUST, INC     |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|LEVEL 3 COMMUNICATIONS        |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|HILTON CORP.                  |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|HILTON CORP.                  |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|UNION PACIFIC CORP.           |                                        ||S
JAMES|JANSEN|99FIS00072|1999-05-14|PRINCIPAL RES. MORTGAGE C     |DES MOINES, IA                          ||C
JAMES|JANSEN|99FIS00072|2000-01-06|DOUGLAS COUNTY NE             |                                        ||I
JAMES|JANSEN|99FIS00072|2000-01-06|OMAHA COMMUNITY PARTNERSH     |UNO CENTER PKCC 232 OMAHA NE            ||B
JAMES|JANSEN|99FIS00072|2000-01-06|PROJECT HARMONY               |7110 F ST OMAHA NE 68117                ||B
JAMES|JANSEN|99FIS00072|2000-01-06|DOMESTIC VIOLENCE COOR.       |1325 S 72 ND ST STE 105 OMAHA           ||B
JAMES|JANSEN|99FIS00072|2000-01-06|NORWEST BANK                  |4725 S 84 ST RALSTON NE 68127           ||F
JAMES|JANSEN|99FIS00072|2000-01-06|US BANK                       |4818 S 108 OMAHA NE 68137               ||F
JAMES|JANSEN|99FIS00072|2000-01-06|PINNACLE BANK                 |10805 Q ST OMAHA NE 68137               ||F
JAMES|JANSEN|99FIS00072|2000-01-06|ADVANCED DISPLAY TECH         |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|AMERICAN EXPRESS INC          |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|ADELPHI CORP                  |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|COMMERICAL FEDERAL CORP       |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|MCI WORLD COM INC             |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|WILLIAMS COMPANIES            |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|RCN CORP                      |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|FIRST DATA CORP               |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|SMITH BARNEY APPRECIATION     |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|GABELLI EQUITY TRUST          |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|LEVEL 3 COMMUNICATIONS        |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|HILTON CORP                   |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|HILTON CORP                   |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|PARK PLACE CORP               |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|UNION PACIFIC CORP            |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|MASSACHUETTS MUTUAL LIFE      |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|SMITH BARNEY                  |                                        ||S
JAMES|JANSEN|99FIS00072|2000-01-06|DOUGLAS COUNTY                |PENSION FUND/ 401K                      ||S
JAMES|JANSEN|99FIS00072|2000-01-06|PRINCIPAL RESIDENTIAL MOR     |DES MOINES IA                           ||C
JAMES|JANSEN|99FIS00072|2001-01-22|PARK PLACE CORP               |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|UNION PACIFIC CORP            |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|PRINC. RESIDENT. MORTG.       |                                        ||C
JAMES|JANSEN|99FIS00072|2001-01-22|MID CITY BANK                 |                                        ||C
JAMES|JANSEN|99FIS00072|2001-01-22|DOUGLAS COUNTY, NE            |                                        ||I
JAMES|JANSEN|99FIS00072|2001-01-22|OMAHA COMMUNITY PARTNERSH     |                                        ||B
JAMES|JANSEN|99FIS00072|2001-01-22|PROJECT HARMONY               |                                        ||B
JAMES|JANSEN|99FIS00072|2001-01-22|DOMESTIC VIOLENCE COORD.      |                                        ||B
JAMES|JANSEN|99FIS00072|2001-01-22|WELLS FARGO BANK              |                                        ||F
JAMES|JANSEN|99FIS00072|2001-01-22|US BANK                       |                                        ||F
JAMES|JANSEN|99FIS00072|2001-01-22|PINNACLE BANK                 |                                        ||F
JAMES|JANSEN|99FIS00072|2001-01-22|MID CITY BANK                 |                                        ||F
JAMES|JANSEN|99FIS00072|2001-01-22|ADVANCED DISPLAY TECHN.       |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|AMERICAN EXPRESS              |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|ADELPHI CORP                  |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|COMMERCIAL FEDERAL CORP       |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|MCI WORLD COM, INC.           |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|WILLIAMS COMPANIES, INC.      |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|RCN CORP                      |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|BERKSHIRE HATHAWAY            |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|SMITH BARNEY APPREC. FUND     |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|GABELLI EQUITY TRUST          |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|LEVEL 3 COMMUNICATIONS        |                                        ||S
JAMES|JANSEN|99FIS00072|2001-01-22|HILTON CORP                   |                                        ||S
ROGER|MORRISSEY|99FIS00074|2000-03-20|R.F. MORRISSEY & ASSOC        |668 N 58TH OMAHA NE                     ||I
ROGER|MORRISSEY|99FIS00074|2000-03-20|NORWEST BANK                  |13259 MILLARD AVE OMAHA NE              ||F
ROGER|MORRISSEY|99FIS00074|2000-03-20|NEBRASKA STATE BANK           |3211 N 90TH ST OMAHA NE                 ||F
ROGER|MORRISSEY|99FIS00074|2000-03-20|FIRST AMERICAN SAVING         |3540 S 84TH ST OMAHA NE                 ||F
ROGER|MORRISSEY|99FIS00074|2000-03-20|WELLS FARGO                   |                                        ||S
JAMES|PRAUNER|99FIS00086|2001-03-07|CITY OF BATTLE CREEK          |BOX 280                                 ||I
JAMES|PRAUNER|99FIS00086|2001-03-07|TOM OSBORN                    |RENT FROM FARM BATTLE CREEK,            ||I
JAMES|PRAUNER|99FIS00086|2001-03-07|CITY OF BATTLE CREEK          |BOX 280                                 ||B
JAMES|PRAUNER|99FIS00086|2001-03-07|AIM FINANCIAL AMERITAS        |PO BOX 8189                             ||F
JAMES|PRAUNER|99FIS00086|2001-03-07|BATTLE CREEK STATE BANK       |202 W MAIN POB 308                      ||F
JAMES|PRAUNER|99FIS00086|2001-03-07|MADISON CO GVT CREDIT UNI     |1306 N 13TH                             ||F
JAMES|PRAUNER|99FIS00086|2001-03-07|BATTLE CREEK STATE BANK       |BATTLECREEK, NE                         ||C
JENNIE|ROBAK|99FIS00092|2000-05-12|LEGISLATURE                   |                                        ||I
JENNIE|ROBAK|99FIS00092|2000-05-12|SOCIAL SECURITY               |                                        ||I
JENNIE|ROBAK|99FIS00092|2000-05-12|JIM STICKER                   |                                        ||I
JENNIE|ROBAK|99FIS00092|2000-05-12|RKR FOOD INC                  |                                        ||B
JENNIE|ROBAK|99FIS00092|2000-05-12|COLUMBUS BANK & TRUST         |                                        ||F
JENNIE|ROBAK|99FIS00092|2000-05-12|FIRST FEDERAL LINCOLN         |                                        ||F
ELAINE|STUHR|99FIS00096|2000-03-31|UNIV. OF NE                   |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|YORK NE G.O. BOND             |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|INVESTCO FUNDS GROUP INC      |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|FEDERATED INVESTORS           |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|STUHR FARMS                   |208 ROAD 18 BRADSHAW NE                 ||I
ELAINE|STUHR|99FIS00096|2000-03-31|STATE OF NEBRASKA             |STATE CAPITOL LINCOLN NE                ||I
ELAINE|STUHR|99FIS00096|2000-03-31|SSA                           |601 E 12TH ST KANSAS CITY MO            ||I
ELAINE|STUHR|99FIS00096|2000-03-31|HEARTLAND CENTER FOR LEAD     |940 O ST STE 920 LINCOLN NE             ||B
ELAINE|STUHR|99FIS00096|2000-03-31|YORK STATE BANK               |PO BOX 39 YORK NE                       ||F
ELAINE|STUHR|99FIS00096|2000-03-31|CORNERSTONE BANK OF YORK      |529 LINCOLN AVE YORK NE                 ||F
ELAINE|STUHR|99FIS00096|2000-03-31|NE ED FAC AUTHORITY REV       |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|NE PUBLIC POWER DIST          |                                        ||S
ELAINE|STUHR|99FIS00096|2000-03-31|NE PUBLIC POWER DIST REV      |                                        ||S
STEPHEN|SCHERR|99FIS00106|1999-04-19|WHELAN & SCHERR               |420 W. 5TH  HASTINGS, NE                ||I
STEPHEN|SCHERR|99FIS00106|1999-04-19|RENTAL INCOME                 |1006 W. 9TH  HASTINGS, NE               ||I
