ID|Lobbyist Last Name|Lobbyist First Name|Principal Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
197|Uhe|Fred|Sarpy County Board of Commissioners|1st Quarter Report|1997-04-15|1997-04-17|$20.00|REDUCED|$0.00|1997-07-30||
198|Watson|James|United Healthcare Corp.|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|PAID|||1998-07-30|
199|Weaver|James|Bishop Clarkson Memorial Hospital|Statement of Activity|1997-07-28|1997-08-13|$160.00|REDUCED|$0.00|1997-08-19||
200|Winniger|Dwight|NE Rural Telecommunications Coalition|1st Quarter Report|1997-04-15|1997-04-17|$20.00|PAID|||1997-06-27|
201|Wood-Maddux|Cynthia|MADD, Nebraska|1st Quarter Report|1998-04-15|1998-05-26|$300.00|REDUCED|$0.00|1998-06-09||
202|Wright|Norman|Children's Healthcare Services|Statement of Activity|1998-05-29|1998-06-04|$60.00|PAID|||1998-07-10|
203|Wright|Norman|Metro Omaha Convention Sports & Entertainment|Statement of Activity|1998-05-29|1998-06-04|$60.00|PAID|||1998-07-10|
204|Wright|Norman|Multistate Associates Airtouch Communications|Statement of Activity|1998-05-29|1998-06-04|$60.00|PAID|||1998-07-10|
205|Wright|Norman|Western Surety Company|Statement of Activity|1998-05-29|1998-06-04|$60.00|PAID|||1998-07-10|
206|Wright|Norman|Childrens Healthcare (3 others also)|3rd Quarter Report|1997-10-15|1997-11-03|$190.00|RED/PAID|$10.00|1998-07-10|1998-07-10|
207|Wylie|William|NE Insurance Information Service|3rd Quarter Report|1997-10-15|1997-10-29|$140.00|REDUCED|$0.00|1998-04-08||
208|Yost|Kurt|Friends of Nebraska Non-Profit Hospitals|3rd Quarter Report|1997-10-15|1997-10-27|$120.00|PAID|||1997-10-27|
209|Bernbeck|Kent||1st Quarter Report|1996-01-01|1996-01-01|$300.00|REDUCED|$0.00|1998-10-09||
210|Bernbeck|Kent||Statement of Activity|1997-07-01|1997-08-01|$300.00|PAID|||1998-10-09|
211|Bernbeck|Kent||2nd Quarter Report|1998-01-01|1998-02-01|$160.00|REDUCED|$0.00|1998-10-09||
214|Schroeder|William|Alliance of American Insurers|2nd Quarter Report|1998-07-15|1998-09-14|$300.00|RED/PAID|$10.00|1998-10-07|1998-10-07|
215|Goc|John|Safety Warning Systems, L.C.|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
216|Ruggles|Bob|NE Pork Producers|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-23||
218|Kevil|G. Bruce|NE Home Builders Association|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|PAID|||1998-11-02|
219|Goc|John|NE Keno Operators|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
220|Goc|John|Niobrara Valley Conference|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
221|Goc|John|Friends of Rural Education|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
222|Goc|John|Save Our Schools|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
223|Meerkatz|Marilyn|Class I's United|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|PAID|||1998-10-30|
224|Ludwig|Daniel|Entire Recycling Inc.|3rd Quarter Report|1998-10-15|1998-10-19|$40.00|REDUCED|$0.00|1998-11-13||
225|Goc|John|Class I's United|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|REDUCED|$0.00|1998-11-13||
226|Ruehle|Greg|NE Cattlemen, Inc.|3rd Quarter Report|1998-10-15|1998-10-19|$40.00|PAID|||1998-11-04|
227|Freeman|Jeff|National Rifle Association|3rd Quarter Report|1998-10-15|1998-10-20|$50.00|PAID|||1998-12-11|
228|Reilly|Tara|National Rifle Association|3rd Quarter Report|1998-10-15|1998-10-20|$50.00|PAID|||1998-12-11|
229|Babcock|Marsha|NE Chapter, Sierra Club|3rd Quarter Report|1998-10-15|1998-10-16|$10.00|PAID|||1998-11-12|
230|Fraizer|T.J.|American Insurance Association|3rd Quarter Report|1998-10-15|1998-10-21|$30.00|REDUCED|$0.00||1998-12-11|
231|Fraizer|T.J.|Mutual of Omaha|3rd Quarter Report|1998-10-15|1998-10-21|$30.00|REDUCED|$0.00|1998-12-11||
232|Niemann|Nicholas|Greater Omaha Chamber of Commerce|3rd Quarter Report|1998-10-15|1998-12-02|$300.00|PAID|||1998-12-11|
233|Schoenrock|Robert|Brotherhood of Maintenance of Way Employees|3rd Quarter Report|1998-10-15|1998-10-30|$150.00|RED/PAID|$10.00|1998-12-14|1998-12-14|
234||American Communications Group|Tri-Mutual Aid Fire Fighters Fund|3rd Quarter Report|1998-10-15|1998-11-30|$300.00|REDUCED|$150.00|1998-12-09|1998-12-09|
235|McChesney|Jean|DuPont Pharmaceuticals|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|REDUCED|$0.00|1998-12-22||
236|Pribyl|James|MCI Telecommunications|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|REDUCED|$0.00|1999-01-27||
238|Knapp|Patricia|Boyd County Monitoring Committee|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|REDUCED|$0.00|||
239|Barnett|Linda|YMCA's of NE|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|RED/PAID|$10.00|1998-12-30|1998-12-30|
240|Sukovaty|Jack|JES Environmental Services|3rd Quarter Report|1998-10-15|1998-11-30|$300.00|RED/PAID|$10.00|1998-12-21|1998-12-21|
241|Haar|Ken|NE Democratic Party|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|RED/PAID|$10.00|1998-12-21|1998-12-21|
242|Schmad|Timothy|M O C S E A|3rd Quarter Report|1998-10-15|1998-12-01|$300.00|REDUCED|$0.00|1998-12-17||
243|Morrissey|Spencer|Brotherhood of Maintenance of Way Employees|3rd Quarter Report|1998-10-15|1998-12-03|$300.00|REDUCED|$0.00|1998-12-17||
244|Butler|Richard|NE Mortgage Association|3rd Quarter Report|1998-10-15|1998-12-02|$300.00|REDUCED|$0.00|1998-12-17||
245|Wininger|Dwight|American Communications Group|3rd Quarter Report|1998-10-15|1998-12-02|$300.00|REDUCED|$0.00|1998-12-17||
246|Freeman|Jeff|National Rifle Association|3rd Quarter Report|1998-10-15|1998-10-20|$50.00|PAID|||1998-12-11|
247|Thone|Charles|Nebraska Society of Clinical Laboratory Science|4th Quarter Report|1999-01-15|1999-01-19|$40.00|REDUCED|$0.00|1999-01-27||
248|Moors|H. Jack|Cargill, Inc.|4th Quarter Report|1999-01-15|1999-01-20|$50.00|REDUCED|$0.00|1999-01-21||
249|American Communications Group||Center for Rural Affairs|4th Quarter Report|1999-01-15|1999-01-20|$50.00|PAID|||1999-02-01|
250|O'Hara & Associates||Lucent Technologies|4th Quarter Report|1999-01-15|1999-01-20|$50.00|RED/PAID|$10.00|1999-02-08|1999-02-08|
252|Gady|Richard|ConAgra, Inc.|4th Quarter Report|1999-01-15|1999-01-21|$60.00|PAID|||1999-01-28|
253|Semerad|Mark|ConAgra, Inc.|4th Quarter Report|1999-01-15|1999-01-21|$60.00|PAID|||1999-01-28|
254|Piper|George|Center for Rural Affairs|4th Quarter Report|1999-01-15|1999-01-20|$50.00|PAID|||1999-03-01|
255|Hale|Susan|Family Planning Council of NE|4th Quarter Report|1999-01-15|1999-01-21|$60.00|PAID|||1999-03-01|
256|Herrin|Sally J.|Farmers Educational & Cooperative Union of NE|4th Quarter Report|1999-01-15|1999-01-20|$50.00|REDUCED|$0.00|1999-01-27||
257|Hansen|John |Farmers Educational & Cooperative Union of NE|4th Quarter Report|1999-01-15|1999-01-20|$50.00|PAID|||1999-02-01|
258|Stock|Darrell|Jim Hudson|4th Quarter Report|1999-01-15|1999-01-20|$50.00|PAID|||1999-01-25|
259|Fahleson|Mark|NE Fertilizer & Ag-Chemical|4th Quarter Report|1999-01-15|1999-01-19|$40.00|REDUCED|$0.00|1999-01-20||
260|Fahleson|Mark|High Plains Corporation|4th Quarter Report|1999-01-15|1999-01-19|$40.00|REDUCED|$0.00|1999-01-20||
261|Fahleson|Mark|Anderson Management|4th Quarter Report|1999-01-15|1999-01-19|$40.00|REDUCED|$0.00|1999-01-20||
262|Lunde|Brian|Smith Kline Beecham|4th Quarter Report|1999-01-15|1999-01-26|$110.00|PAID|||1999-03-08|
263|Lunde|Brian|Anderson Consulting|4th Quarter Report|1999-01-15|1999-01-26|$110.00|PAID|||1999-03-08|
264|Bredthauer|Trudy|Omaha Public Schools|4th Quarter Report|1999-01-15|1999-02-03|$190.00|PAID|||1999-02-25|
265|Bredthauer|Trudy|NE Methodist Health Systems|4th Quarter Report|1999-01-15|1999-02-03|$190.00|PAID|||1999-02-25|
580|Sigerson|Chuck|Nebraska Republican Party|2nd Quarter Report|2000-07-17|2000-07-27|$250.00|PAID|||2000-09-06|
266|Beardsley|Daniel|Infiltrator Systems, Inc.|3rd Quarter Report|1998-10-15|1999-02-18|$300.00|PAID|||1999-03-01|
267|Beardsley|Daniel|Infiltrator Systems, Inc.|4th Quarter Report|1999-01-15|1999-02-18|$300.00|PAID|||1999-03-01|
268|Leval|Kim|Center for Rural Affairs|4th Quarter Report|1999-01-15|1999-01-20|$50.00|REDUCED|$0.00|1999-02-23||
269|Patterson|Walter|Nebraska Cooperative Council|4th Quarter Report|1999-01-15|1999-03-23|$300.00|REDUCED|$0.00|1999-03-25||
270|Ginsburg|Joy|American Cancer Society|1st Quarter Report|1999-04-15|1999-04-19|$40.00|REDUCED|$0.00|1999-05-10||
271|Golden|Jeffery S.|Boys & Girls Home of NE|1st Quarter Report|1999-04-15|1999-04-19|$40.00|PAID|||1999-05-11|
273|Funk|Christine|Planned Parenthood of Lincoln|1st Quarter Report|1999-04-15|1999-04-19|$40.00|PAID|||1999-04-28|
274|Reilly Mica|Tara|National Rifle Association|1st Quarter Report|1999-04-15|1999-04-20|$50.00|PAID|||1999-05-17|
275|Clemens|Lisa|Cargill, Inc.|1st Quarter Report|1999-04-15|1999-04-21|$60.00|REDUCED|$0.00|1999-05-12||
276|Graham|Ronald|Novartis Pharmaceuticals|1st Quarter Report|1999-04-15|1999-04-21|$60.00|REDUCED|$0.00|1999-05-07||
277|Watson|James|United Healthcare|1st Quarter Report|1999-04-15|1999-04-21|$60.00|PAID|||1999-05-10|
278|Cavanaugh|James|Jan Burke Law Office|1st Quarter Report|1999-04-15|1999-04-21|$60.00|REDUCED|$0.00|1999-05-17||
